 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
  256  6.387500E-01  1.577750E-04  8.028805E+05  8.444967E+01  1.533001E+00  9.445049E+02
  257  6.412500E-01  1.605730E-04  7.888907E+05  8.444968E+01  1.539001E+00  9.362399E+02
  258  6.437500E-01  1.634093E-04  7.751977E+05  8.444968E+01  1.545001E+00  9.280791E+02
  259  6.462500E-01  1.662845E-04  7.617940E+05  8.444969E+01  1.551001E+00  9.200205E+02
  260  6.487500E-01  1.691989E-04  7.486725E+05  8.444969E+01  1.557001E+00  9.120627E+02
  261  6.512500E-01  1.721528E-04  7.358262E+05  8.444970E+01  1.563001E+00  9.042039E+02
  262  6.537500E-01  1.751467E-04  7.232483E+05  8.444970E+01  1.569001E+00  8.964425E+02
  263  6.562500E-01  1.781810E-04  7.109321E+05  8.444971E+01  1.575001E+00  8.887770E+02
  264  6.587500E-01  1.812559E-04  6.988713E+05  8.444971E+01  1.581001E+00  8.812058E+02
  265  6.612500E-01  1.843720E-04  6.870597E+05  8.444972E+01  1.587001E+00  8.737275E+02
  266  6.637500E-01  1.875296E-04  6.754911E+05  8.444972E+01  1.593001E+00  8.663404E+02
  267  6.662500E-01  1.907291E-04  6.641598E+05  8.444973E+01  1.599001E+00  8.590433E+02
  268  6.687500E-01  1.939709E-04  6.530599E+05  8.444974E+01  1.605001E+00  8.518345E+02
  269  6.712500E-01  1.972554E-04  6.421858E+05  8.444974E+01  1.611001E+00  8.447129E+02
